spam_words,spam_users
girl,Jessica Mcguire
connect,Jill Hicks
LIVE.,Jeremy Cannon
09094646899,Shannon Bradshaw
Cheap,Michelle Henderson
biggest,Daniel Cook
VU,Carl Pineda
BCM1896WC1N3XX,Cynthia Jordan
WOW!,Brian Rodriguez
Boys,Mark Lucas
Back.,James Ortiz
TAKE,Elizabeth Gomez
THAT,Sarah Walker
2007,Loretta Cruz
Tour.,Justin Scott
Tickets,Danielle Greene
pre-book,Anna Barker
Club.,Alexander Mayo
81303.,Michelle Davis
Trackmarque,Angela Ryan
info@vipclub4u.,Martin Mendoza
"Hi,",Jack Smith
Mandy,William Castro
Sullivan,Craig Grant
HOTMIX,Aaron Rowe
FM...you,Norman Cook
chosen,Marcus Malone
£5000.00,Peter Hall
Easter,Wendy Valentine
draw.....Please,Laura Bryant
telephone,Michael Camacho
09041940223,Anna Johnson
before,Andrea Brown
29/03/05,Michael Hansen
transferred,Daniel Mcclain
else....,Craig Williams
GOING,Kevin Miller DDS
BAHAMAS!,Amanda Galloway
CallFREEFONE,Amber Casey
08081560665,Jennifer Martinez
Bahamas,Benjamin Carey
cruise,Tara Ward
of£2000,Michele Monroe
18+only.,Derek Carroll
07786200117,James Ramirez
conacted,Heather Snow
you!To,Ryan Hutchinson
09111030116.,Joshua Jones
PoBox12n146tf15,Cheryl Romero
07734396839,Jessica Johnson
IBH,Charles Jones
Offer:,Rebecca Silva
NOKIA6600,Robert Graham
TXTAUCTION!Txt,Erin Zamora
word:START,Walter Lam
No:81151,Edward Liu
Yours,Dr. Chelsea Harding MD
Now!4T&,Ryan Cummings
Buy,Christina West
Space,Victoria Lopez
Invaders,Sarah Brooks
orig,Heidi Murphy
Arcade,Traci Silva
Game,Daniel Gilbert
console.,Barbara Martinez
Press,Albert White
Games,Taylor Williams
(std,John Taylor
charge),Melanie Miller
o2.co.uk/games,Leslie Williams
settings.,Lisa Moore
purchase,Shelley Peterson
BIG,Trevor Romero
BROTHER,Thomas Jones
ALERT!,Eric Park
computer,Nicholas Williams
10k,Vicki Williams
#150,Valerie Howard
voucher.,Kathryn Freeman
09064018838.,Brittany Cook
CRO1327,Casey Armstrong
WIN:,Emily Gutierrez
winner!,Nichole Young
Mr.,James Dawson
T.,Mr. Matthew Wilson
Foley,Amber Thompson
iPod!,Jose Nguyen
exciting,Kristy Oneal
prizes,Marisa Kelly
"soon,",Patrick Berg
eye,Christopher Beasley
www.win-82050.co.uk,Susan Green
1225,Mark Ingram
£50award.,Alyssa Travis DDS
3100,Alicia Myers
Hottest,James Harvey
straight,Lauren Macdonald
phone!!,Michael Olson
Wet,Sally Conner
"Wanting,",Elizabeth Schmidt
PICS,Joseph Jacobs
89555,Crystal Nichols
costs,Douglas James
textoperator,Samuel Matthews
g696ga,Melissa Miles
Hack,Amy Brown
Chat.,Stephanie Brock
backdoor,John Wright
rooms,Corey Bryant
fraction,Kelly Harrison MD
cost.,Madeline Arellano
NEO69,Devon Smith
"09050280520,",Danielle Alexander
subscribe,Samuel Smith
pm.,Carl Wells
"DPS,",Robert Miller
Bcm,Jerry Mcfarland
box,Lindsay Cummings
8027,Anthony Hughes
"Ldn,",Felicia Price
wc1n3xx,Raymond Rich
upto,Traci Hart
12mths,Melissa Ramos
1/2price,Amber Wilson
"linerental,",Jacob Dunlap
x-net,David Diaz
mins&100txt/mth,Edward Price
B'tooth*.,Kathy Ortega
Mobileupd8,Sarah Fox
08001950382,Judy Mcdonald
2optout/D3WV,Larry Ball
we,Laura Robbins
Pound,Taylor Becker
"easy,",Carl Ramirez
08718726970,Linda Reyes
min.,Michael Liu
BT-national-rate,Derek Young
prize.To,Jennifer Allen DVM
Would,Aaron Short Jr.
XXX,Jennifer Levy DVM
nearly,Michael Bowman
banned,Brian Hickman
uk!,Penny Andersen
09058094594,Emily Wolf
0776xxxxxxx,James Bullock
18yrs,Scott Haas
09061743811,Tammy Davis
ABTA,Thomas Carter
326,Melissa Blankenship
09090900040,Amanda Taylor
LISTEN,Joseph Brown
TO,Melissa Tran
EXTREME,Daniel Green
DIRTY,Stephanie Page
ON,Laurie Clark
IN,Richard Wyatt
THE,Shannon Fischer
OFFICE,Christina Garcia
RIGHT,Kelly Ho
TOTAL,John Ferguson
PRIVACY,Tara Mendoza
KNOWS,Brandon Adams
[sic],Colin Kelly
LISTENING,Amy Gardner
60P,Sabrina Lee
MIN,Andrea Contreras
24/7MP,Jessica Lee
0870753331018+,Joseph Kim
"U,",Rachel Stephens
these,Keith Nichols
video/pic,Hannah Smith
"fones,",Adam Curry
WILD,Ronnie Allen
ill,Daniel Gregory
"pics,",Erik Thomas
hurry,Charles Soto
Im,Mrs. Erin Duarte
bored,Gary Maldonado
xxx,Chris Wong
(18,Kenneth Boyer
150p/rcvd,Eric Faulkner PhD
STOP2stop),Maria Taylor
ipod.,Richard Baker
80182,Michele Tapia
rate),Hunter Leon
08452810073,Kevin Watson
details,Denise Pennington
89693.,Michael Hernandez
08715500022,Rodney Thomas
rpl,Tyler Hansen
cnl,Mr. Joseph Hopkins
08702490080,Robin Simpson
tells,Dr. Ryan Baker MD
09066358152,Ashley Townsend
personal,Alexander Rodriguez
prompts.,Mandy Hansen
Careful!,Jacob Gomez
VPOD,Karen Gordon
dogging,Steven Silva
09090204448,Scott Miller
minded,William Davidson
guys.,Leslie Christensen
yourself.,Jennifer Harris
There's,Michele Smith
evening.,Tiffany Lawson
A£1.50,John Reynolds
minAPN,James Christensen
LS278BB,Kevin Phillips
WELL,Jody Clark
DONE!,Julia Pineda
Costa,Mackenzie Williams
Del,Alexis Green
Sol,Jennifer Wilkerson
09050090044,Ryan Miller
toClaim.,Dustin Hunter
"SAE,",Maria Morrison
"TCs,",Zachary Foster
"POBox334,",Joy Davis
"Stockport,",Chris Nichols
"SK38xh,",Michelle Ramos
"Cost£1.50/pm,",Kevin Herrera
Max10mins,Hannah Obrien
09065394973,Kristen Mendoza
80488.,Austin Smith
31,Alexis Torres
PHP,Robert Drake
weekly!,Andrea Davis
Where,Yesenia Kirk
2006,Roy Hickman
FIFA,Sarah Williams
World,Sara Jacobs
held?,Roy Jackson
87239,Julie Yang
09061743810,Anthony Miller
Hope,Vincent Ellison
enjoyed,William Young
61610,Joseph Young
unsubscribe.,Cristian Tucker
help:08712400602450p,Kevin Dunlap
Provided,Lisa Moran
tones2you.co.uk,Adam Wilkins
TheMob>Yo,Andrea Alvarez
yo,Tonya Bell
yo-Here,Thomas Salas
downloads,Keith Pitts
members,Nicole Turner
open,Craig Johnson
fone...,Anthony Harris
Great,Brenda Hayes
News!,Kimberly Hughes
FREEFONE,Douglas Crawford
08006344447,Laura Reed
gift.,William Nunez
Speak,Deborah Caldwell
Music,Joe Vance
Vouchers,Patrick Carter
starting,Marcus Gibbs
DRAW,Paul Gonzalez
TsCs,Julie Black
www.ldew.com,Patrick Carter
"SkillGame,1Winaweek,",Jesus Parsons
age16.150ppermessSubscription,James Hall
09094100151,Robert Woods
mins!,Theodore Washington
cast,Sergio Jones
10p/min,Michael Anderson
(mob,Patrick Lucas
vary).,Mindy Macias
provided,Travis Brown
"AOM,",Cindy Gilbert
GBP5/month.,Jonathan Baker
AOM,Ricardo Cobb
"Box61,M60",Stephanie Quinn
1ER,Chad Velasquez
Ages,Mallory Walls
***********,Denise Hoover
09066362220,Jeremiah Ray
"BOX97N7QP,",Joseph Santiago
Sexy,Edward Davis MD
Singles,Jasmine Kim
GENDER,Laura Watts
wither,Julian Galloway
E.G.23F.,David Miller
men,Cynthia Daniels
e.g.23G.,Kristen Dyer
FreeMsg:,Terri Conner
messages-Text,Deanna Myers
now!Use,Matthew Kelly
web2mobile,Robin Bell
etc.,Debra David
Txt250.com,Zachary Harvey
1.50p/wk.,Maria Jackson
"BOX139,",Sarah Ward
LA32WU.,John Francis
txtX,Micheal Jones
85233,Vanessa Brooks
FREE>Ringtone!Reply,Mr. Steven Martinez
REAL,Christopher Patel
Well,Michael Jenkins
done,Virginia Smith
ENGLAND!,Amy Reese
official,Ernest Anderson
flag,Matthew Sanchez
yer,Edward Willis
FLAG,Marie Guerrero
84199,Joseph King
ENG,Micheal Snyder
Box39822,Dustin Fleming
W111WX,Eric Gonzalez
Final,Jesse Lam
Subs,Darren Pham
SERVICES.,Jeffery Oliver
inclusive,Michael Campbell
*****,Brenda Burns
help:08700469649.,Terri Berry
BOX420.,Victoria Davis
IP4,Zachary Bullock
5WE,Kimberly Hayes
087123002209am-7pm.,Janice Hall
Hols.,Amanda Barnes
med,Mark Richardson
stamped,Daniel Deleon
self,Jennifer Young
envelope,Angie Avila
Drinks,Jorge Perez
Us,Nathan Wall
"UK,",Adrian Collins
"113,",Jenna Hunt
"Bray,",Donald Sims
"Wicklow,",Barbara Rodriguez
Eire.,Joseph Gamble
Starts,Robert Gray
Saturday!,Selena Williams
www.Idew.com,Eric Jennings
"SkillGame,",Wayne Jordan PhD
"1Winaweek,",Steven Wiley
age16.,Jordan Martin
150ppermessSubscription,Alexander Lewis II
B4U,William Payne
w/c,Leslie Little
27/03,Timothy Middleton
MARSMS.,Latasha Scott
Log,Kevin Davis
www.B4Utele.com,Cassie Bennett DDS
08717168528,Jeremy Washington
Buffy.,Brian Rogers
satisfy,Benjamin Schmitt
men.,Elizabeth Wright
Home,Jack Peck
randy.,Brandi Stokes
PIX!,Andrew Marsh
QlynnBV,John Johnson
Help08700621170150p,Tracy Harris
linerental,Thomas Maynard
4.49/month,Raven Bentley
cross,Erica Hall
ntwk,Juan Lutz
mins.,Jon Mills
bundle,Ronald Simpson
deals,Larry Daniel
also,Vanessa Lopez
avble.,Kimberly Wright
call2optout/J,Christopher Everett
MF,Charles Black
URGENT!!,Eduardo Elliott
"s,",Julie Burns
08714712379,Tami Mccoy
"order,",Kara Delgado
ref,Tabitha Harvey
K718.,Joshua Elliott
£4.50.,William Gray
Should,Anthony Jackson
09065069120,Eduardo Weaver
ya,Stacy Fleming
babe,Michelle Young
4goten,Robert Castillo
bout,Kevin Boyd MD
me?',Kimberly Moore
scammers,Alexis Williams
smart..Though,Linda Salas DDS
regular,Brandon Taylor
"no,",Eric Murphy
respond,Roger Jordan
prem,Tina Mills
msg/subscription.,Mary Ruiz
Other,Wendy Boone
nos,Julie Graham
used,Zachary Dickson
also.,Amanda Peters
Beware!,Timothy Vargas
Back,Laurie Hughes
2morro,Angel May
term,Melissa Clark
over!,Stephen Small
2nite,Jaime Knox
passion,Rebecca Nelson
B4,Russell Chavez
back?,Ross Mcfarland
09099726481,Rachel Casey
DENA,Jane Butler
£1/minMobsmoreLKPOBOX177HP51FL,Hannah Nelson
R836.,John Davis
09065069154,Larry Sandoval
SplashMobile:,Alex Reed
1000s,Patrick Wong
gr8,Devin Watson
wk!,Carrie Matthews MD
subscrition,Paula Patterson
300p.,Kimberly Miller
ENJOY,Stephen Carpenter
Not,Rebecca Smith
heard,Jennifer Salazar
U4,Travis Bartlett
while.,Dr. Theodore Garcia
rude,Susan Goodman
private,Nicholas Roy
01223585334,Brian Cunningham
cum.,Sandra Ramirez
Wan,Melanie Pitts
2C,Douglas Mcbride
gettin,Richard Weber
shagged,Mary Mckee
PIX,Erica Ochoa
8552.,Jordan Dillon
2End,Tracy Baker
8552,Ryan May
SAM,Angela Drake
88877>FREE,Susan Carter
88877,Connie Galvan
88066,Michelle Moreno
LOST,Jorge Vargas MD
3POUND,Hannah Berry
HELP,Reginald Cook
Oranges,Ronald Gray
unlimited,Carolyn Owens
weekend,Vickie King
calls.,Paula Jones
Upd8,Rachel Carter
freefone,Juan Casey
2StopTx,Carolyn Anderson
message.,Krista Guzman
08718738034.,Michael Crawford
21870000>Hi,Taylor Sandoval
Mailbox,Vanessa Odonnell
Messaging,Colin West
alert.,Ronald Olson
messages.,Kimberly Rodriguez
21,Jeffrey Hall
matches.,Dennis Weaver
09056242159,Vicki Tran
retrieve,Leslie Burns
Moby,Ricky Burton
Pub,Frederick Sandoval
Quiz.Win,Alexandra Garrison
High,David Torres
Street,Deborah Cunningham
Duchess,William Barrett
Cornwall,Eric Reed
be?,Betty Scott
82277.unsub,Ernest Davenport
008704050406,Denise Smith
SP,Sandra Sawyer
Arrow,Annette Huffman
Congratulations!,Dawn Jones
friend,Jesse Stokes
08718726971,Kimberly Phillips
minute.,Kathleen Brown
BT-national-rate.,Louis Brown
tddnewsletter@emc1.co.uk,Joseph Parks
(More,Ariel Harrington
TheDailyDraw),Eric Wilson PhD
"Helen,",Audrey Harrison
Dozens,Francisco White
great,Justin Moon
prizesWith..,Brady Thompson
***************,Claudia Harrington
10/06/03!,Mary Weber
09066368753,Joanna Johnson
"97N7QP,",Melissa Delgado
B/Tooth,Jason Johnson
FREE-Nokia,Christine Weaver
or2optout/HV9D,Andrew Pollard
Download,Alexis Taylor
ringtones,Anita Carlson DDS
"restrictions,",Tyler Ibarra
choose.,Kristine Mullins
buddys.,Michelle Mcmillan
Sir,Antonio Rodgers
80082,Stephen Lopez
08712402902,Christopher Simpson
Spook,Michael Holmes
Halloween,Ronald Ferguson
eerie,Rebecca Hurst
CARD,Michael Brock
SPOOK,Madison Warren
08701417012150p,Stephanie Price
logo/pic,David Smith
Fantasy,Tara Torres
Football,Jennifer Gillespie
TV.,Christopher Jones
Sky,James Rhodes DVM
Gamestar,Dr. Gina Morrison
Active,Brian Spencer
£250k,Stephanie Faulkner
Dream,Theresa Williams
Team.,Sherri Stevenson
Scoring,Benjamin Johnson
starts,Taylor Melendez
"Saturday,",Christopher Reyes
register,Maria Bailey
now!SKY,James Simmons
OPT,Dr. Jermaine Martinez
88088,Johnathan Garcia
subs,Michael Baker
expired,Brandon Morrison
re-sub,Daniel Crawford
MONOC,Renee Williams
monos,Rebecca Carr
POLYC,Stephen Nelson
polys,Casey Alvarez
Stream,Jonathan Lee MD
0871212025016,Loretta Henson
XMAS,Jonathan Brown
draws!,Vicki Morgan
YES!,Melanie Moore
town,Mary Galloway
adult,Elizabeth Brooks
UK.,Cody Navarro
150p/Msg.,Richard Dillon
becausethey,Tracy Mack
09058098002.,Kristine Smith
"PoBox1,",Matthew Spencer PhD
W14RG,Mitchell Perez
Babe:,Russell Evans
baby!,Nicholas Smith
nasty,Nicole Johnson
thing,Aaron Stephenson
filthyguys.,Sharon Walters
bitch.,Larry Walker
slo,Melissa Johnson
hard!,John Page
SLO(4msgs),Seth Walker
SERVICES,Ashley Bell
gotto,Michael Martin
login,Veronica Stevens
charge,Ryan Herrera
08702840625,Angela Lopez
comuk.220cm2,Jennifer Pope
CustCare:08718720201,Kelly Moran
I?This,Abigail Gallagher
created,Crystal Murray
page,Martin Hayes
WWW.ASJESUS.COM,Cindy Rice
read,Joshua Wells
wrote.,Laura Wilson
opinions.,Claudia Simmons
1/1,Gabriel Moses
83370.,Brittany Gardner
www.music-trivia.net,Tonya Deleon
1x150p/wk.,Jeanne Stevens
Sppok,Anna Lopez
logo&pic,Brandi Wood
09066612661,Wendy Austin
complementary,Victoria Lewis
WA14,Daniel Jimenez
2PX,Jeanne Jenkins
Sender:,Charles Goodman
Hol,Leonard Ball II
WINNER!,Jennifer Gould
hvae,Elizabeth Garcia
09061701444.,Bruce Martin
24,Garrett Hicks
ACL03530150PM,Alexander Davis
6230,Miss Mary Duran
digital,James Bowers
camera.,Diana Estrada
83383,Patricia Flores
POBOX114/14TCR/W1,Claudia Nelson
Text82228>>,Victoria White
"ringtones,",William Butler
logos,Kyle Young
www.txt82228.com.,Willie Whitney
Questions:,Rachel Sullivan
info@txt82228.co.uk,Alexander Olson
FreeMSG,Sally Morris DDS
mini,Gina Gutierrez
DIGITAL,Amanda Brown
"CAMERA,",Charles Martinez PhD
SNAP,Kayla Flores
(quizclub,Scott Watkins
Opt,Margaret Pierce
out?,Samantha Nielsen
80122300p/wk,Cory Miller
SP:RWM,Crystal Mccall
Ph:08704050406),Jennifer Rodriguez
brought,Dr. Kenneth Grant
GMW,Craig Martinez
Ltd.,Chad Pratt
connected,James Powell
Congrats,Thomas Gomez
polypH,Vincent Alexander
bx420.,Jason Hoover
ip4.,Mrs. Elizabeth Medina
5we.,Patrick Warner
amazing,Jose Douglas
PICSFREE1,Brittany Acosta
enjoy!,Dana Andrews
vid,Richard Johnston
enough,Joanna Palmer
keyword,Alejandro Liu
video.,Chase Abbott
ten,Timothy Jones
83435.,Cory Beck
08706091795.,Victoria Wilson
TAROT,Gabriel Cervantes
TEXTS!,Douglas Lopez
TRY,Angela Fischer
CHANCE,Brandon Cooper
85555,Zachary Gonzales
After,Jeremy Wright
"Free,",Laura Pierce
Msgs,Jennifer Delgado
horniest,Gregg Meza
sex,Patricia Griffin
2nite!.,Joshua Sharp
sign,Kayla Graham
follow,Jose Martinez
instructions.,Luis Bishop
ENTRY,Robert Scott
69888,Crystal Combs
Nyt.EC2A.3LP.msg@150p,Anthony Walker
Knock,Lisa Williams
whose,Frank Reynolds
choice.,David Chan
www.tkls.com,Michael Shepherd
stoptxtstop£1.50/week,Troy Greene
cc100p/min,Jeffrey Evans
RING,Patty Bray
"""POLYS""",Jeffrey Reese
87131.,Eric Hall
tone.,Laurie Moore
0870737910216yrs,Laura Herrera
£1.50/wk.,Shelia Porter
077xxx,Linda Harrison
09066362206,Amy Lee
150p/Mtmsgrcvd18,Stephanie Chen
how,Adriana Robinson
today?,Lonnie Jones
would,Mary Mckenzie
"chat,",Aaron Blackburn
look,Karen Stewart
sexy?,Suzanne Smith
W4,Andrew Duncan
5WQ,James Sandoval
norm,Roberto James
150p/tone,Anthony Cain
mobile?,Lydia Richard
Network.,Dalton Hill
PARK,Thomas Levine
69696,Elizabeth Smith
Nyt.,Jessica Watkins
3lp,David Ray
£1.50/msg,Natalie Walker
response,Keith Johnson
fone,Walter Johnson
hit,Steven Holloway
include:,Tony Moody
1)McFly-All,Theresa Anderson
"Ab..,",Jessica Hall
2),Eric Carey
Sara,Gregory Flores
Jorge-Shock..,Matthew Tran
3),Brian Mora
Smith-Switch..,Richard Lewis
instructions,Michael Burns
sports,Robert Brown
fans,Zachary Wilson
str*,Corey Martinez
PLUS,Jennifer Lara
SPORT,Cesar Lawson
0870141701216+,James Winters
4txt/120p,Christopher Peters
Europe,Cesar Rojas
"away,",Jennifer Adams
10th,Paige Bell
Sept,Dr. Mark Price
09050000555.,Tammie Graham
BA128NNFWFLY150ppm,Shawn Hines
£12,Walter Garcia
flirt?,Jonathan Thomas
UKs,Tammy Torres
fastest,Jane Kennedy
growing,Laura Abbott
rcvd,Roger Lee
optout,Jordan Beard
83021.,Deanna Miller
DOUBLE,Stacey Ford
tariffs,Stephen Molina IV
AND,Valerie Johnson
2stoptxt,Kevin Underwood
luxury,Kevin Church
Canary,Angel Wright
Islands,Charles Ryan
20M12AQ.,Robert Gill
Lux,Mary Boyd
James,Katie Roberts
"28,",Lawrence Smith
EH74RR,Ronald Hogan
Married,Lisa Luna DVM
women,Joseph Kelley
action,Kim Ellis
instantly,William Bush
phone.,Carl Parrish
MATCH,William Walters
69969,David Shannon
BCMSFWC1N3XX,Benjamin Copeland
Burger,Jeremy Owens
King,Suzanne Cole
footy,Katelyn Evans
stadium?,Timothy Murphy
Large,Aaron Duran
Super,Mrs. Danielle Henderson
Coca-Cola,Anna Garcia
walk,Robert Thomas
come,Logan Yoder
little,Kelly Castro
child,Matthew Hunter
afraid,Sarah Gilmore
dark,Cheryl Lewis
become,Jonathan French
teenager,Wesley Miller
wants,Amanda Harris MD
night?,Sara Horne
U’ve,Daniel Johnson
Bin,Lisa Cook
Awarded,Joe Wright
£50,Rebecca Butler
Instant,William Murray
Cash.,John Thomas
08715203028,Julia Jordan
Claim.,Alice Tyler
EVERY,Barry Hayes
9th,Amanda Spencer
Player,Diane Craig
Wins,Tammy Robinson
Min,Barbara Wilkinson
£50-£500.,Megan Bryant
08718727870,Tina Vasquez
FreeMsg>FAV,Steven Long
TONES!Reply,Philip Russell
mobs,Eric Lee
2u,Lauren Alvarez
POLY,Steven Turner
BREATHE1,Christopher Davis
"CRAZYIN,",Ashley Underwood
"SLEEPINGWITH,",Susan Weaver
"FINEST,",Johnny Wilson
YMCA,Michelle Irwin
:getzed.co.uk,Andrew Schwartz
POBox365O4W45WQ,Angelica Delgado
300p,Joseph Glenn
INTERFLORA,Angela Richardson
It's,Nathan Wilson
too,Kenneth Wang
late,Kenneth Rodriguez
Interflora,Katie Simmons
flowers,Christian English
christmas,Kevin Ramos
505060,Nancy Buck
Midnight,Jennifer Hunter
tomorrow.,Tiffany Taylor
ROMCAPspam,Todd Galloway
Everyone,Patricia Wagner
should,Steven Castro
responding,William Marshall
well,Shane Williams
presence,James Adams
since,Heather Chandler
warm,Bonnie Franklin
outgoing.,Ryan Parks
bringing,Elizabeth Carey
breath,Kimberly Grant
sunshine.,Robert Logan
08712103738,Joanna Cummings DDS
150p.,Jacqueline Houston
You've,Rick Jones
EURO2004,Mr. Steven Wolfe
CUP,Laura Sims
FINAL,James Strong
"CASH,",David Thompson
09058099801,Hailey Guerra
"b4190604,",Shelly Cummings
7876150ppm,Shannon Schneider
Free-message:,Christopher Gallegos
Jamster!Get,Jonathan Jackson
crazy,Yolanda Elliott
frog,Shane Lewis
sound,Heather Lee
"MAD1,",Amy Bailey
MAD2,Whitney West
88888.,Janice Marshall
sounds,Jessica Gutierrez
GBP/week!,James Frost
16+only!,Michael Greer
BE,Michelle Castaneda
REALITY,Zachary Howell
FANTASY,Anthony Wise
SHOW,Erik Thompson
Adult,Joseph Johnson
shortly,Casey Brown
call.,Ernest Mahoney
Boys.,Christopher Mendoza
phone?,Carol Hill
PORN,James Blair
"69855,",Alex Herrera
24Hrs,James Burch
50p,David Norton
day.,Tamara Johnson
STOPBCM,Debbie Smith
SF,Carlos Crane
pdate_Now,Veronica Weaver
tariffs.,Vanessa Santos
call2optout/!YHL,Shawn Adkins
09058094454,Robert Cole
Sorry!,Stephanie Ayers
yet.,David Taylor
MOB,Melissa Ball
package,Andrea Herrera
54,Cassandra House
weeks>,James Hill
resubmit,Brittany Jones
request,Jacqueline Hayes
expiry.,Cory Jacobs
THEMOB,Lisa Daugherty
08712400200.,Stephanie Valdez
08718723815.,Sheila Monroe
"£1,500",Samantha Nolan
27/6/03.,Susan Morris
08714714011,Daniel Berg
ever,Jonathan Carter
you're,Mia Adams
"driving,",Kyle Miller
anyone,Allison Jimenez
going,Heather Bell
slower,Christopher Swanson
than,Lauren Conley
idiot,Joseph Huffman
everyone,Randy Morrison
driving,Dalton Wall PhD
faster,Keith Arroyo
maniac?,Ronnie Kim
DVD!,Bailey Taylor
call2optout/4QF2,Jill Wyatt
professional,Christopher Richards
sport,Elizabeth Grant
Tiger,Amanda Allison
Woods,Nicole Smith
play?,Carrie Bishop
POLYPHONIC,Kathleen Nelson
PT2,Larry Waters
Welcome,Jacqueline Fields
improved,Natasha Morales
club!,Rachel Wilkerson
msgs@150p,Erin Anderson
18+only,Juan Myers
12Mths,Tami Fernandez
Half,Tina Reyes
Price,Brittney Robinson
rental:,Laura Rosario
400mins...Call,Lori Miller
call2optout=J5Q,Anthony Erickson
HARDCORE,Carmen Dennis
69200,Timothy Miller
hrs,Melinda Malone
chrgd@50p,Joel Robinson
2exit.,Miguel Case
unsubscribed,Logan Farmer
services.,Alexis Schultz
tons,Charles Valencia
hunks,Steven Gonzalez
phone!,Renee Arnold
http://gotbabes.co.uk.,Joshua Watson
subscriptions.,Angela Peck
"Jordan,",Amanda Sherman
u?,Christina Jones
home,Randy Macias
abroad,Stephen York MD
"lonely,",Christopher Ross
xxSP,Shannon Hernandez
visionsms.com,Christopher Gutierrez
stopCost,Rebecca Diaz
08712400603,Mark Sims
being,Daniel Wheeler
agent,Kimberly Jones
Mob!,Aaron Jones
Plus,David Smith
loads,Brenda Moore
goodies!,Amy Powell
MAT,Darius Anderson
LORD,Nicole Tucker
OF,Deanna Thomas
RINGS:RETURN,Tiffany Robinson
KING,Steven Espinoza
NOW!REPLY,James Watkins
LOTR,John Hester
June,David Soto
Chance,Tammy Lynch
soundtrack,Beverly Rivera
StdTxtRate.,Mary Roberts
Draw,Debbie Cross
28th,Patrick Juarez
Feb,Frank Moss
06.,Christopher Wise
removal,Jeffrey Myers
08708034412,Christina Ellison
str8,Hailey Phillips
Classic,Pamela Stewart
HIT,Lisa Washington
Polys.,Aaron Keith
Nokia/150p,Carrie Smith
Poly/200p,Paul Holmes
LookAtMe!:,Robert Williams
clip,William Williams
"LookAtMe!,",Pamela Sweeney
you've,Kimberly Stevens
35p.,Tracy Thompson
better?,Christopher Sanchez
MMSto,Sandra Horton MD
32323.,Kenneth Levy
im,Geoffrey Ryan
wet,Jose Watson
porn!,Kelly Nelson
fun?,Jennifer Beck
THIS,Michelle Martinez
RECD,Christopher Brown
MSGS,Kelly Jones
150P,Amy Miles
INC,Belinda Walton
VAT,Willie Hall
CANCEL,Vanessa Wall
TEXT,Edward Ball
09053750005,Darrell Andrews
310303.,Jermaine Reeves
08718725756.,Joyce Daniels
140ppm,Kristin Howard
http://www.e-tlp.co.uk/reward.,Michael Taylor
08712101358,Lindsay Marquez
88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub,Jamie Matthews
09066358361,Scott Davis
Y87.,Ian Molina
reference,Dr. Veronica Scott
X29.,Alexander Lara
4.50.,Christine Johnson
09065989180,Katherine Hill
08718726978,Sandra Fields
44,Jennifer Russell
"7732584351,",Chelsea Hardin
3510i,Edward Aguilar
DeliveredTomorrow?,Jessica Daniels
300,Jasmine Melton DDS
minutes,Lisa Matthews
Camcorder,Melissa Saunders
08000930705.,Larry Lewis
09058097189,Michele Hansen
Camera,Jo Gross
09061221066,Austin Simpson
fromm,Jacob Hutchinson
28,Anthony King
5226,Glenda Perez
?350,Michelle Wilson
hava,Kimberly Hill
1131,Tiffany Scott
RCT',Bethany Ortiz
THNQ,Robert Valencia
Adrian,Kristi Barnett
text.,Bobby Smith
Rgds,Jenna White
Vatian,John Wong
know!,Stephen Smith
"is,",Lisa Glover
09050000928.,Michael Parks
PoBox45W2TG150P,Donna Finley
Sorry,Diane Thomas
missed,Cory Oneal
talk,Benjamin Graham
time.,Cindy Boyd
07090201529,Kayla Quinn
STAR,Chelsea Roman
needs,Pamela Washington
URGENT,Tony Santos
09066364349,Patrick Thomas
lose,Brittany Jones
Box434SK38WP150PPM18+,Latasha Lee
MSG:We,Sara Conner
billed,Anne Marshall
mistake,Miranda Ochoa
shortcode,Jeanne Carlson
83332.Please,Jose Snyder
08081263000,Joshua Schneider
charges,Robert Jones
refunded.This,Tyler Hamilton
08712402972,Tammy White
Prize.,James Bates
09058095201,Edward Bishop
LIFE,Jessica Buchanan
never,Ashley Saunders
much,Steven Smith
came,David Craig
in.,Kristin Romero
made,Daniel Wise
truly,Nicholas Clark
won't,Michael Garcia
enjoy,Brandi Kidd
gbp/sms,Kathryn Banks
600,Randall Bell
400,Heather Fuller
Inclusive,Taylor Jordan
delTOMORROW,Brian Roberts
09066368470,Samantha Golden
Welcome!,John Lang
begin.,Gary Ryan
e.g,Julie Chambers
24M,Tammy Parker
Freemsg:,Timothy Ramos
1-month,Deanna Payne
calls!,Michelle Ortiz
SmartCall,Jack Rubio
68866.,Heather Miles
Subscriptn3gbp/wk,Samantha Wolfe
Help:,Erica Chandler
08448714184,Cameron Wilcox
Stop?txt,Christina Taylor
landlineonly,Scott Jones
mths?,Robert Frost
camera/video,Matthew Smith
Save,Bethany Reyes
£s,Curtis Long
texts/weekend,Crystal Moran
callback,Christopher Maddox
orno,Scott Hobbs
fink,Michael Bradshaw
met,Natalie Johnson
yet,Martha Rodriguez
09099726553,Tonya Adams
promised,Anthony Cox
CARLIE,Victoria Adkins
Calls£1/minMobsmore,Aaron Williams
LKPOBOX177HP51FL,Cheyenne Kelley
days.,Curtis Campbell
